predictor,target,n,spearman,sp_p,pearson,pe_p
confidence,pnl_pct,185,-0.139,0.06,-0.047,0.527
confidence,raw_ret,185,-0.139,0.06,-0.047,0.527
confidence,fwd_1,185,-0.035,0.634,0.001,0.986
confidence,fwd_5,185,-0.047,0.529,0.047,0.526
confidence,fwd_15,185,-0.096,0.194,0.026,0.725
confidence,fwd_60,185,-0.114,0.124,-0.082,0.27
confidence,fwd_240,185,-0.039,0.595,0.041,0.576
ind_quality_rr_ratio,pnl_pct,185,-0.022,0.769,0.008,0.915
ind_quality_rr_ratio,raw_ret,185,-0.022,0.769,0.008,0.915
ind_quality_rr_ratio,fwd_1,185,-0.023,0.755,0.007,0.926
ind_quality_rr_ratio,fwd_5,185,-0.019,0.795,0.146,0.047
ind_quality_rr_ratio,fwd_15,185,0.04,0.586,0.066,0.369
ind_quality_rr_ratio,fwd_60,185,-0.049,0.511,0.027,0.711
ind_quality_rr_ratio,fwd_240,185,-0.104,0.159,-0.026,0.73
ind_quality_atr_pct,pnl_pct,185,-0.104,0.159,-0.044,0.552
ind_quality_atr_pct,raw_ret,185,-0.104,0.159,-0.044,0.552
ind_quality_atr_pct,fwd_1,185,0.06,0.418,-0.055,0.46
ind_quality_atr_pct,fwd_5,185,-0.034,0.65,-0.151,0.04
ind_quality_atr_pct,fwd_15,185,0.047,0.529,0.012,0.871
ind_quality_atr_pct,fwd_60,185,0.096,0.193,-0.056,0.45
ind_quality_atr_pct,fwd_240,185,-0.019,0.803,-0.01,0.89
ind_quality_volume_score,pnl_pct,185,0.037,0.619,0.039,0.597
ind_quality_volume_score,raw_ret,185,0.037,0.619,0.039,0.597
ind_quality_volume_score,fwd_1,185,-0.011,0.886,-0.011,0.882
ind_quality_volume_score,fwd_5,185,0.012,0.873,0.001,0.991
ind_quality_volume_score,fwd_15,185,-0.019,0.794,-0.02,0.786
ind_quality_volume_score,fwd_60,185,-0.019,0.8,0.008,0.914
ind_quality_volume_score,fwd_240,185,-0.048,0.516,-0.029,0.691
ind_quality_bb_pos,pnl_pct,185,-0.02,0.784,-0.007,0.92
ind_quality_bb_pos,raw_ret,185,-0.02,0.784,-0.007,0.92
ind_quality_bb_pos,fwd_1,185,-0.102,0.166,-0.035,0.64
ind_quality_bb_pos,fwd_5,185,-0.07,0.344,-0.094,0.204
ind_quality_bb_pos,fwd_15,185,0.088,0.232,0.023,0.759
ind_quality_bb_pos,fwd_60,185,-0.038,0.608,0.019,0.797
ind_quality_bb_pos,fwd_240,185,-0.049,0.509,0.037,0.621
ind_regime_confidence,pnl_pct,185,0.068,0.361,-0.008,0.917
ind_regime_confidence,raw_ret,185,0.068,0.361,-0.008,0.917
ind_regime_confidence,fwd_1,185,0.018,0.812,0.006,0.94
ind_regime_confidence,fwd_5,185,0.06,0.42,-0.02,0.782
ind_regime_confidence,fwd_15,185,-0.006,0.937,0.003,0.963
ind_regime_confidence,fwd_60,185,-0.013,0.857,0.057,0.439
ind_regime_confidence,fwd_240,185,-0.017,0.818,-0.032,0.669
ind_efficiency_ratio,pnl_pct,185,0.048,0.514,0.026,0.728
ind_efficiency_ratio,raw_ret,185,0.048,0.514,0.026,0.728
ind_efficiency_ratio,fwd_1,185,0.159,0.03,0.151,0.04
ind_efficiency_ratio,fwd_5,185,-0.066,0.372,-0.07,0.342
ind_efficiency_ratio,fwd_15,185,0.023,0.755,0.008,0.911
ind_efficiency_ratio,fwd_60,185,-0.083,0.26,-0.075,0.308
ind_efficiency_ratio,fwd_240,185,0.063,0.391,0.052,0.484
ind_rsi_value,pnl_pct,185,-0.155,0.035,-0.134,0.069
ind_rsi_value,raw_ret,185,-0.155,0.035,-0.134,0.069
ind_rsi_value,fwd_1,185,-0.102,0.167,-0.154,0.036
ind_rsi_value,fwd_5,185,-0.097,0.188,-0.172,0.019
ind_rsi_value,fwd_15,185,-0.257,0.0,-0.232,0.001
ind_rsi_value,fwd_60,185,-0.04,0.586,-0.107,0.147
ind_rsi_value,fwd_240,185,-0.148,0.044,-0.137,0.063
ind_bb_pos,pnl_pct,185,-0.02,0.784,-0.007,0.92
ind_bb_pos,raw_ret,185,-0.02,0.784,-0.007,0.92
ind_bb_pos,fwd_1,185,-0.102,0.166,-0.035,0.64
ind_bb_pos,fwd_5,185,-0.07,0.344,-0.094,0.204
ind_bb_pos,fwd_15,185,0.088,0.232,0.023,0.759
ind_bb_pos,fwd_60,185,-0.038,0.608,0.019,0.797
ind_bb_pos,fwd_240,185,-0.049,0.509,0.037,0.621
ind_macd_hist,pnl_pct,185,-0.123,0.094,-0.109,0.141
ind_macd_hist,raw_ret,185,-0.123,0.094,-0.109,0.141
ind_macd_hist,fwd_1,185,-0.106,0.152,-0.146,0.047
ind_macd_hist,fwd_5,185,-0.075,0.307,-0.098,0.184
ind_macd_hist,fwd_15,185,-0.275,0.0,-0.233,0.001
ind_macd_hist,fwd_60,185,-0.077,0.295,-0.115,0.119
ind_macd_hist,fwd_240,185,-0.109,0.139,-0.056,0.447
ind_trend_bias,pnl_pct,185,0.004,0.954,0.028,0.703
ind_trend_bias,raw_ret,185,0.004,0.954,0.028,0.703
ind_trend_bias,fwd_1,185,-0.022,0.764,0.007,0.92
ind_trend_bias,fwd_5,185,-0.026,0.725,0.025,0.74
ind_trend_bias,fwd_15,185,0.064,0.387,0.068,0.355
ind_trend_bias,fwd_60,185,-0.024,0.745,0.002,0.974
ind_trend_bias,fwd_240,185,0.001,0.991,0.038,0.611
