ts,s_pnl$,s_ret%,btc_ret%,regime,n_trades
2025-04,-2.544,-2.212,10.156,sideways,9
2025-05,-3.424,-3.045,11.069,bull,18
2025-06,-5.387,-4.94,2.452,sideways,18
2025-07,-3.837,-3.702,8.016,bull,20
2025-08,-3.743,-3.751,-6.45,sideways,18
2025-09,-2.946,-3.066,5.365,sideways,15
2025-10,-3.932,-4.223,-3.943,sideways,21
2025-11,-1.716,-1.924,-17.517,bear,11
2025-12,-2.012,-2.301,-3.043,bear,14
2026-01,-3.004,-3.515,-10.144,sideways,17
2026-02,-2.092,-2.538,-14.94,bear,8
2026-03,-2.529,-3.147,1.942,sideways,11
2026-04,-0.676,-0.868,13.338,sideways,5
