min_trend_strength,pullback_atr_multiple,stop_atr_multiple,total_trades,long_trades,short_trades,win_rate,avg_win,avg_loss,profit_factor,total_pnl,total_roi,max_drawdown_pct,sharpe_ratio,initial_balance,final_balance,regime_metrics
0.0035,0.8,2.2,271,132,139,0.25461254612546125,69.42246840052955,-42.72421754287128,0.5550391980836162,-3840.14162402346,-38.401416240234596,38.401416240234546,-7.953185398421301,10000.0,6159.858375976545,"{'bear_trend': {'trades': 139, 'win_rate': 0.2517985611510791, 'profit_factor': 0.5789991600540748, 'total_pnl': -2044.623343978451, 'avg_hold_bars': 12.805755395683454}, 'bull_trend': {'trades': 132, 'win_rate': 0.25757575757575757, 'profit_factor': 0.5242039476153737, 'total_pnl': -1795.5182800450089, 'avg_hold_bars': 10.553030303030303}}"
0.0035,0.8,1.8,273,133,140,0.2490842490842491,70.54832504306374,-42.066799320748785,0.5562913271725496,-3826.4077578251677,-38.26407757825167,38.26407757825177,-8.185141007212868,10000.0,6173.592242174823,"{'bear_trend': {'trades': 140, 'win_rate': 0.25, 'profit_factor': 0.5923730016999531, 'total_pnl': -1959.3447141266308, 'avg_hold_bars': 12.342857142857143}, 'bull_trend': {'trades': 133, 'win_rate': 0.24812030075187969, 'profit_factor': 0.5108538453489346, 'total_pnl': -1867.0630436985368, 'avg_hold_bars': 10.142857142857142}}"
0.0035,0.6,2.2,246,121,125,0.22764227642276422,76.71501350952056,-42.42659276132456,0.5329379370871918,-3765.0118681185136,-37.650118681185134,37.65011868118514,-8.287774579995007,10000.0,6234.988131881486,"{'bear_trend': {'trades': 125, 'win_rate': 0.232, 'profit_factor': 0.5805281983654517, 'total_pnl': -1865.2437486418385, 'avg_hold_bars': 12.544}, 'bull_trend': {'trades': 121, 'win_rate': 0.2231404958677686, 'profit_factor': 0.4743896453956044, 'total_pnl': -1899.7681194766753, 'avg_hold_bars': 9.917355371900827}}"
0.0035,0.6,1.8,247,121,126,0.22672064777327935,76.66977415390286,-42.262097619849776,0.5318973111370155,-3778.5532927727486,-37.78553292772748,37.78553292772749,-8.499705496672872,10000.0,6221.446707227251,"{'bear_trend': {'trades': 126, 'win_rate': 0.23015873015873015, 'profit_factor': 0.5728684607435274, 'total_pnl': -1920.1324615258843, 'avg_hold_bars': 11.936507936507937}, 'bull_trend': {'trades': 121, 'win_rate': 0.2231404958677686, 'profit_factor': 0.4804015500868965, 'total_pnl': -1858.420831246864, 'avg_hold_bars': 9.454545454545455}}"
0.0035,0.4,2.2,209,103,106,0.22488038277511962,73.51781550362118,-44.70344311737817,0.47712751596257913,-3786.620456345069,-37.86620456345069,37.866204563450744,-9.024598414343435,10000.0,6213.379543654925,"{'bear_trend': {'trades': 106, 'win_rate': 0.2169811320754717, 'profit_factor': 0.4833964906912531, 'total_pnl': -2135.331864817215, 'avg_hold_bars': 12.849056603773585}, 'bull_trend': {'trades': 103, 'win_rate': 0.23300970873786409, 'profit_factor': 0.46879173311076316, 'total_pnl': -1651.2885915278546, 'avg_hold_bars': 10.20388349514563}}"
0.0035,0.4,1.8,210,103,107,0.22380952380952382,73.26147375488395,-44.21008695010178,0.47782023254838313,-3762.954906387046,-37.629549063870456,37.6787857701081,-9.175603663979196,10000.0,6237.045093612958,"{'bear_trend': {'trades': 107, 'win_rate': 0.21495327102803738, 'profit_factor': 0.48256563278617554, 'total_pnl': -2129.327370522823, 'avg_hold_bars': 11.962616822429906}, 'bull_trend': {'trades': 103, 'win_rate': 0.23300970873786409, 'profit_factor': 0.47150266682358494, 'total_pnl': -1633.6275358642229, 'avg_hold_bars': 9.74757281553398}}"
0.0035,0.6,1.5,252,124,128,0.21428571428571427,77.89554048917246,-42.14090992851552,0.5041238632783649,-4137.540979430761,-41.37540979430761,41.3754097943076,-9.424668589828498,10000.0,5862.45902056924,"{'bear_trend': {'trades': 128, 'win_rate': 0.21875, 'profit_factor': 0.5346489494070465, 'total_pnl': -2241.1901149498717, 'avg_hold_bars': 10.8515625}, 'bull_trend': {'trades': 124, 'win_rate': 0.20967741935483872, 'profit_factor': 0.46245090423082824, 'total_pnl': -1896.350864480889, 'avg_hold_bars': 8.814516129032258}}"
0.0035,0.8,1.5,281,136,145,0.2313167259786477,70.2292240713612,-41.478858172497716,0.5095076193477842,-4394.533800621029,-43.945338006210285,43.94533800621029,-9.718520073586872,10000.0,5605.4661993789705,"{'bear_trend': {'trades': 145, 'win_rate': 0.22758620689655173, 'profit_factor': 0.5319862081410717, 'total_pnl': -2451.4863549901147, 'avg_hold_bars': 11.110344827586207}, 'bull_trend': {'trades': 136, 'win_rate': 0.23529411764705882, 'profit_factor': 0.47786757136701097, 'total_pnl': -1943.0474456309144, 'avg_hold_bars': 9.566176470588236}}"
0.0035,0.4,1.5,213,105,108,0.215962441314554,71.51820071807292,-43.44271362833088,0.4534620999605643,-3965.095942899903,-39.65095942899903,39.755112206719964,-9.855005252549802,10000.0,6034.904057100096,"{'bear_trend': {'trades': 108, 'win_rate': 0.2037037037037037, 'profit_factor': 0.4414776951344295, 'total_pnl': -2396.3070890733725, 'avg_hold_bars': 11.027777777777779}, 'bull_trend': {'trades': 105, 'win_rate': 0.22857142857142856, 'profit_factor': 0.4708068536828287, 'total_pnl': -1568.7888538265306, 'avg_hold_bars': 9.323809523809524}}"
0.0025,0.8,2.2,390,183,207,0.26666666666666666,60.02666864351394,-39.651001798044554,0.5505000760865725,-5097.41297531529,-50.974129753152894,51.28980491694419,-10.468250477758591,10000.0,4902.587024684709,"{'bear_trend': {'trades': 207, 'win_rate': 0.24154589371980675, 'profit_factor': 0.5350978922232861, 'total_pnl': -3071.2135782628284, 'avg_hold_bars': 11.63768115942029}, 'bull_trend': {'trades': 183, 'win_rate': 0.29508196721311475, 'profit_factor': 0.5719931883194134, 'total_pnl': -2026.199397052462, 'avg_hold_bars': 10.836065573770492}}"
